geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000172551,MUCL1,188.298291,5.592192269,5.888081898,0.949747705,0.342240464,0.86895025
ENSG00000105357,MYH14,899.9134225,5.553153141,1.845335885,3.009291255,0.00261858,0.866536786
ENSG00000248713,C4orf54,71.71643704,5.55159981,3.75880617,1.476958257,0.139686827,0.866536786
ENSG00000118432,CNR1,6.757620561,5.449987114,3.546113547,1.536890187,0.124320203,0.866536786
ENSG00000283131,MTND2P41,4.969197281,5.449984717,2.938355875,1.854773536,0.063628573,0.866536786
ENSG00000188573,FBLL1,5.080680362,5.449984668,2.941453512,1.852820262,0.063908125,0.866536786
ENSG00000232187,FTH1P7,8.962157977,5.449984026,2.981182355,1.828128365,0.067530289,0.866536786
ENSG00000236972,FABP5P1,8.47684776,5.449983947,2.986088189,1.825124913,0.067982181,0.866536786
ENSG00000222019,URAHP,6.663703995,5.449982126,2.781562508,1.959323981,0.050074857,0.866536786
ENSG00000228917,AL591806.1,3.664022288,5.449979683,3.237475087,1.683404362,0.092296839,0.866536786
ENSG00000236049,LINC01920,11.27246535,5.449977108,3.380249406,1.612300293,0.10689661,0.866536786
ENSG00000004799,PDK4,7.628988236,5.449976014,4.080479485,1.335621471,0.181673028,0.866536786
ENSG00000196407,THEM5,58.26384575,5.435163509,2.372287054,2.291107014,0.021957225,0.866536786
ENSG00000169550,MUC15,1981.19156,5.408223188,1.873887831,2.886097609,0.003900512,0.866536786
ENSG00000124107,SLPI,16268.57965,5.406483447,1.883019713,2.871177296,0.004089461,0.866536786
ENSG00000172478,C2orf54,228.4181629,5.395034838,2.082840586,2.59022936,0.0095912,0.866536786
ENSG00000138449,SLC40A1,165.0052095,5.360929109,3.040419594,1.763220155,0.077863366,0.866536786
ENSG00000162366,PDZK1IP1,581.7356436,5.329234658,1.907499164,2.793833286,0.005208732,0.866536786
ENSG00000162040,HS3ST6,26.14678556,5.32923298,2.1571212,2.470530158,0.013491294,0.866536786
ENSG00000206129,AC006305.1,22.09016843,5.329225792,2.492759935,2.137881678,0.032526348,0.866536786
ENSG00000248360,LINC00504,60.66853734,5.313112687,2.06547681,2.57234197,0.010101306,0.866536786
ENSG00000165794,SLC39A2,151.9350761,5.3119568,1.924894071,2.759609934,0.005787041,0.866536786
ENSG00000162645,GBP2,580.9311565,5.306081674,1.911068387,2.776500156,0.005494761,0.866536786
ENSG00000180861,LINC01559,88.32781134,5.280308643,3.28132006,1.609202561,0.107572057,0.866536786
ENSG00000248485,PCP4L1,7.792110676,5.229693143,2.668956988,1.959452013,0.050059874,0.866536786
ENSG00000172602,RND1,29.46431072,5.229691136,2.323271614,2.251002899,0.024385354,0.866536786
ENSG00000163331,DAPL1,98.12086151,5.214443029,3.4729207,1.501457557,0.133237257,0.866536786
ENSG00000211448,DIO2,57.51299579,5.212415452,2.579481594,2.020722096,0.043308541,0.866536786
ENSG00000132639,SNAP25,4.906586742,5.186953852,2.997146826,1.730630547,0.08351768,0.866536786
ENSG00000198535,C2CD4A,4.688101441,5.186948389,3.105592435,1.670196105,0.09488057,0.866536786
ENSG00000148734,NPFFR1,5.418907589,5.186948276,3.336577538,1.554571478,0.120048161,0.866536786
ENSG00000203785,SPRR2E,2842.255391,5.186248011,2.877306289,1.802466435,0.071472051,0.866536786
ENSG00000104055,TGM5,20.53282148,5.177225869,2.667815677,1.940623527,0.052303958,0.866536786
ENSG00000268104,SLC6A14,356.0201796,5.177217586,2.979619951,1.737542932,0.082291383,0.866536786
ENSG00000159516,SPRR2G,2010.831724,5.168633994,3.560983684,1.45146242,0.146651139,0.866536786
ENSG00000108924,HLF,39.0445148,5.066201479,1.796106637,2.820657401,0.004792536,0.866536786
ENSG00000079393,DUSP13,9.223382553,5.066194369,2.36394146,2.143113294,0.032104002,0.866536786
ENSG00000182261,NLRP10,572.7900997,5.02313299,1.811084779,2.773549338,0.005544843,0.866536786
ENSG00000188508,KRTDAP,15179.53375,4.991642172,2.000959756,2.494623971,0.012609067,0.866536786
ENSG00000127954,STEAP4,3244.560941,4.959993065,1.707378111,2.905034938,0.003672121,0.866536786
ENSG00000165553,NGB,7.510768183,4.945900926,2.665507439,1.855519461,0.063522083,0.866536786
ENSG00000134321,RSAD2,93.75446061,4.920593139,2.188666492,2.248215138,0.024562475,0.866536786
ENSG00000104490,NCALD,50.39522424,4.914196752,2.104403097,2.335197452,0.019533108,0.866536786
ENSG00000163435,ELF3,70.06616817,4.914193649,2.265052922,2.169571227,0.030039343,0.866536786
ENSG00000137745,MMP13,87.75234291,4.885625846,2.224145636,2.196630367,0.028046856,0.866536786
ENSG00000122877,EGR2,64.35381526,4.881774151,2.126840535,2.29531743,0.021714939,0.866536786
ENSG00000114013,CD86,53.55732881,4.881752206,3.776613353,1.292626952,0.196140113,0.866536786
ENSG00000171401,KRT13,984.1070033,4.879228463,1.81003435,2.695655175,0.007025035,0.866536786
ENSG00000152192,POU4F1,5.26953438,4.86502519,3.092974019,1.57292792,0.115735509,0.866536786
ENSG00000229009,TMPRSS11GP,7.02947478,4.865024825,3.117131788,1.560737613,0.118585673,0.866536786
ENSG00000262094,AC139099.1,5.338236518,4.865024263,3.688505414,1.318968991,0.18717948,0.866536786
ENSG00000253125,AC055854.1,6.053532045,4.865023906,3.177213205,1.53122362,0.125714135,0.866536786
ENSG00000215127,SYT14P1,4.56512187,4.865017329,2.800561322,1.737157937,0.082359297,0.866536786
ENSG00000181908,AP003774.1,3.328065296,4.865015149,3.492428741,1.393017728,0.16361443,0.866536786
ENSG00000184351,KRTAP19-1,3.616342245,4.865000925,4.818032402,1.009748486,0.312615806,0.866536786
ENSG00000277196,AC007325.2,84.8235387,4.854190955,1.878564931,2.583988913,0.009766493,0.866536786
ENSG00000128383,APOBEC3A,14.51256938,4.848605462,2.43758538,1.989101798,0.046689968,0.866536786
ENSG00000104140,RHOV,615.6516901,4.832870156,1.524965194,3.169167517,0.001528763,0.866536786
ENSG00000172867,KRT2,106.3555449,4.821873858,2.136317621,2.257095954,0.02400208,0.866536786
ENSG00000284606,AC105233.5,81.36576926,4.814664638,1.620789493,2.970567528,0.0029725,0.866536786
ENSG00000108242,CYP2C18,95.09047834,4.814657735,2.325969159,2.069957685,0.038456307,0.866536786
ENSG00000169271,HSPB3,8.646174027,4.814648434,3.439921608,1.399638998,0.161621449,0.866536786
ENSG00000206073,SERPINB4,810.0753304,4.805772616,1.681124605,2.858665326,0.004254274,0.866536786
ENSG00000189001,SBSN,3136.76103,4.798743414,1.724377083,2.782885172,0.005387787,0.866536786
ENSG00000196805,SPRR2B,155.2773888,4.797367776,3.360135022,1.427730655,0.153369399,0.866536786
ENSG00000205847,OR7E91P,35.93782432,4.791579862,1.763617981,2.716903498,0.006589582,0.866536786
ENSG00000163082,SGPP2,807.9695152,4.785616216,1.638385802,2.920933646,0.003489841,0.866536786
ENSG00000188373,C10orf99,522.7894868,4.777647913,2.065223136,2.313380976,0.020701702,0.866536786
ENSG00000253715,AC083841.2,10.83475911,4.744270179,2.285703266,2.07562821,0.03792835,0.866536786
ENSG00000283000,AL392046.2,69.43340387,4.726128399,1.580324401,2.990606484,0.00278424,0.866536786
ENSG00000235888,AF064858.1,17.6666395,4.707747184,2.008202551,2.344259139,0.01906492,0.866536786
ENSG00000163216,SPRR2D,5772.518141,4.707746692,1.987646477,2.368503024,0.017860234,0.866536786
ENSG00000133661,SFTPD,42.4415487,4.670274144,1.790381043,2.608536412,0.009093034,0.866536786
ENSG00000235978,AC018816.1,39.29501239,4.670262139,2.659712638,1.755927341,0.079100816,0.866536786
ENSG00000134339,SAA2,16.66588679,4.670261012,2.731150503,1.709997676,0.087266303,0.866536786
ENSG00000173239,LIPM,152.6117871,4.651163328,2.025118279,2.296736629,0.021633799,0.866536786
ENSG00000157502,MUM1L1,18.56277393,4.631798788,1.946805471,2.379179049,0.017351246,0.866536786
ENSG00000160862,AZGP1,120.9834645,4.618724035,3.450206937,1.338680294,0.180674774,0.866536786
ENSG00000252711,RN7SKP116,26.15331835,4.592269594,2.066594072,2.222143988,0.026273576,0.866536786
ENSG00000161849,KRT84,13.97038,4.592267893,2.129287418,2.156715835,0.031027812,0.866536786
ENSG00000130751,NPAS1,15.55521429,4.592265749,2.146146678,2.139772549,0.032373153,0.866536786
ENSG00000172155,LCE1D,19.70824967,4.59226433,2.707263369,1.696275428,0.089833732,0.866536786
ENSG00000100336,APOL4,10.32035696,4.592263064,3.290566073,1.395584517,0.162839647,0.866536786
ENSG00000133710,SPINK5,8071.88102,4.581140228,1.754347748,2.611306814,0.009019693,0.866536786
ENSG00000176697,BDNF,39.67524994,4.526684336,1.627344167,2.781639205,0.005408513,0.866536786
ENSG00000196344,ADH7,50.55740847,4.521882088,1.789679833,2.526643037,0.011515848,0.866536786
ENSG00000143631,FLG,3502.300475,4.520784129,2.685019532,1.683706235,0.092238456,0.866536786
ENSG00000148346,LCN2,1739.625393,4.511820357,2.612912781,1.726739748,0.084214414,0.866536786
ENSG00000167861,HID1,56.49600548,4.509808251,1.766304757,2.553244695,0.010672449,0.866536786
ENSG00000254153,AC103957.2,50.64666115,4.509806,2.296572037,1.963711971,0.049563504,0.866536786
ENSG00000198854,C1orf68,8.598247647,4.509803765,2.591572496,1.740180439,0.081827339,0.866536786
ENSG00000236204,LINC01376,35.01481573,4.492736416,1.716978785,2.616652258,0.008879675,0.866536786
ENSG00000184261,KCNK12,16.48716839,4.466738286,2.192797909,2.037004079,0.041649633,0.866536786
ENSG00000234678,ELF3-AS1,4.163479678,4.449989863,3.602090054,1.235391064,0.216684997,0.866536786
ENSG00000266274,RN7SL138P,5.02163865,4.449988565,3.122567991,1.425105419,0.154126731,0.866536786
ENSG00000080224,EPHA6,3.987045081,4.449985941,3.061147239,1.453698759,0.146029843,0.866536786
ENSG00000275329,AL138781.2,5.832900825,4.449985604,2.934283246,1.516549437,0.12938048,0.866536786
ENSG00000259881,AC092384.2,2.908835015,4.449983241,3.253307051,1.367833768,0.171364115,0.866536786
ENSG00000164761,TNFRSF11B,9.597065075,4.449978862,3.239034673,1.373859594,0.169485276,0.866536786
ENSG00000230650,AC140479.2,4.967576112,4.449978517,3.014497316,1.476192562,0.139892206,0.866536786
ENSG00000115602,IL1RL1,75.05569308,4.449956915,4.734498107,0.939900453,0.347268625,0.869802086
ENSG00000171766,GATM,91.58244989,4.437297514,1.74393681,2.54441416,0.010946121,0.866536786
ENSG00000134765,DSC1,6377.617004,4.432798911,1.633834729,2.71312565,0.006665183,0.866536786
ENSG00000078114,NEBL,1099.095336,4.430236157,1.581952511,2.800486189,0.005102569,0.866536786
ENSG00000163218,PGLYRP4,443.6271056,4.428217383,1.502384842,2.947458773,0.003203975,0.866536786
ENSG00000198976,MIR429,14.63564048,4.42234523,1.9145986,2.309802812,0.020899074,0.866536786
ENSG00000172782,FADS6,16.98491184,4.422344167,2.216098671,1.995553819,0.04598251,0.866536786
ENSG00000279662,AC131649.2,11.73682721,4.422342947,2.238115915,1.975922211,0.048163588,0.866536786
ENSG00000235295,LINC01634,7.328242625,4.42234211,2.398767637,1.843589201,0.065243031,0.866536786
