geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108242,CYP2C18,95.09047834,6.851874534,2.320680059,2.952528724,0.003151827,0.514275563
ENSG00000270002,AC022028.2,21.80456643,6.851823197,4.875074406,1.405480743,0.159878372,0.543485551
ENSG00000236740,AL033384.1,193.2141963,6.848940565,2.252553186,3.040523353,0.002361674,0.514275563
ENSG00000229009,TMPRSS11GP,7.02947478,6.843898001,3.055311631,2.239999983,0.025090924,0.514275563
ENSG00000231056,LINC02522,5.068105507,6.843880802,4.151297898,1.648612307,0.099227086,0.518978155
ENSG00000184351,KRTAP19-1,3.616342245,6.843861643,4.778269125,1.432288861,0.15206117,0.539962061
ENSG00000189182,KRT77,701.7534606,6.822536979,2.97091119,2.296445953,0.021650396,0.514275563
ENSG00000267259,ERVE-1,146.3705854,6.710262559,2.109713808,3.180650633,0.001469447,0.514275563
ENSG00000159261,CLDN14,8.965526949,6.637449285,3.433610218,1.93308176,0.053226127,0.514275563
ENSG00000234678,ELF3-AS1,4.163479678,6.637447122,3.52723278,1.881771784,0.059867008,0.514275563
ENSG00000162366,PDZK1IP1,581.7356436,6.577318175,1.906965526,3.449101773,0.000562455,0.514275563
ENSG00000159455,LCE2B,73.5339912,6.576456413,3.31004654,1.986816903,0.046942691,0.514275563
ENSG00000167767,KRT80,3201.383888,6.571965054,2.690171687,2.442953766,0.014567603,0.514275563
ENSG00000140297,GCNT3,6.153535028,6.521972496,2.965695728,2.199137435,0.027868151,0.514275563
ENSG00000266274,RN7SL138P,5.02163865,6.521971078,3.038106807,2.146722117,0.031815411,0.514275563
ENSG00000238107,AC245100.6,6.648225206,6.521967349,2.904260916,2.245654759,0.02472613,0.514275563
ENSG00000232679,LINC01705,3.0907752,6.521953835,4.18398235,1.558790953,0.119045866,0.522894138
ENSG00000156284,CLDN8,15.01021181,6.521945436,3.635326938,1.794046463,0.072805753,0.514353404
ENSG00000105357,MYH14,899.9134225,6.481751606,1.845068941,3.513013232,0.000443055,0.514275563
ENSG00000187180,LCE2C,35.32336031,6.460104735,2.755350097,2.344567662,0.019049154,0.514275563
ENSG00000237101,AC092809.4,55.52927649,6.413184915,2.489259809,2.576342129,0.009985179,0.514275563
ENSG00000211448,DIO2,57.51299579,6.409205365,2.576848436,2.487226363,0.012874345,0.514275563
ENSG00000196542,SPTSSB,650.7396305,6.405220512,2.000930676,3.201120653,0.001368942,0.514275563
ENSG00000152192,POU4F1,5.26953438,6.396440497,3.03897416,2.104802529,0.035308501,0.514275563
ENSG00000167614,TTYH1,5.897003599,6.396439076,2.904728594,2.202078049,0.027659796,0.514275563
ENSG00000236972,FABP5P1,8.47684776,6.396438047,2.959568294,2.161274014,0.030674179,0.514275563
ENSG00000237609,AF064858.2,11.00698262,6.396432659,2.863335368,2.233909702,0.025489015,0.514275563
ENSG00000197479,PCDHB11,3.426882305,6.396428943,3.584418014,1.784509764,0.07434087,0.514353404
ENSG00000150051,MKX,33.37335999,6.376962339,2.334238701,2.731923832,0.00629657,0.514275563
ENSG00000196549,MME,33.28762269,6.364688599,2.389393469,2.66372562,0.007728057,0.514275563
ENSG00000124102,PI3,1882.777943,6.361608294,1.875869377,3.391285327,0.000695656,0.514275563
ENSG00000172602,RND1,29.46431072,6.352302329,2.314982142,2.743996255,0.006069623,0.514275563
ENSG00000183578,TNFAIP8L3,337.7351627,6.343501396,2.151803457,2.947992938,0.003198444,0.514275563
ENSG00000165591,FAAH2,35.19558951,6.327212812,2.3279529,2.717929908,0.006569175,0.514275563
ENSG00000180861,LINC01559,88.32781134,6.295209355,3.280007924,1.919266508,0.054950614,0.514275563
ENSG00000172155,LCE1D,19.70824967,6.275681876,2.692858487,2.33049078,0.019780227,0.514275563
ENSG00000197953,AADACL2,152.4217011,6.271306343,2.282127129,2.748009199,0.005995833,0.514275563
ENSG00000169291,SHE,3.811281901,6.258936065,3.567126511,1.754615667,0.07932507,0.514570855
ENSG00000283131,MTND2P41,4.969197281,6.258935686,2.914648932,2.147406371,0.031760944,0.514275563
ENSG00000275329,AL138781.2,5.832900825,6.258934533,2.85032808,2.195864602,0.028101636,0.514275563
